x [mm],y [mm],intensity [arb]
3.25,-44.25,6.84855127334594
3.75,-44.25,7.41432428359985
4.25,-44.25,8.04474925994873
4.75,-44.25,8.71864891052246
5.25,-44.25,9.40720653533935
5.75,-44.25,10.0763177871704
6.25,-44.25,10.6902236938476
6.75,-44.25,11.2161464691162
7.25,-44.25,11.6285915374755
7.75,-44.25,11.9125499725341
8.25,-44.25,12.0649442672729
8.75,-44.25,12.0936775207519
9.25,-44.25,12.0149974822998
9.75,-44.25,11.8498029708862
10.25,-44.25,11.6197853088378
10.75,-44.25,11.3444442749023
11.25,-44.25,11.0394306182861
11.75,-44.25,10.7162208557128
12.25,-44.25,10.3829355239868
12.75,-44.25,10.0458326339721
13.25,-44.25,9.71084117889404
13.75,-44.25,9.38483428955078
14.25,-44.25,9.07624721527099
14.75,-44.25,8.79491519927978
15.25,-44.25,8.55137062072753
15.75,-44.25,8.3556432723999
16.25,-44.25,8.21568584442138
16.75,-44.25,8.13599300384521
17.25,-44.25,8.11645698547363
17.75,-44.25,8.15168476104736
18.25,-44.25,8.23100185394287
18.75,-44.25,8.33925914764404
19.25,-44.25,8.45832824707031
19.75,-44.25,8.56926822662353
20.25,-44.25,8.6548147201538
20.75,-44.25,8.70192050933837
21.25,-44.25,8.7036600112915
21.75,-44.25,8.66031169891357
22.25,-44.25,8.57919025421142
22.75,-44.25,8.47335624694824
23.25,-44.25,8.35940933227539
23.75,-44.25,8.25483131408691
24.25,-44.25,8.17530536651611
24.75,-44.25,8.13246345520019
25.25,-44.25,8.13233375549316
25.75,-44.25,8.17467021942138
26.25,-44.25,8.25306701660156
26.75,-44.25,8.35604667663574
27.25,-44.25,8.4687910079956
27.75,-44.25,8.57523727416992
28.25,-44.25,8.66033554077148
28.75,-44.25,8.71174049377441
29.25,-44.25,8.72086143493652
29.75,-44.25,8.68303298950195
30.25,-44.25,8.59700012207031
30.75,-44.25,8.4639892578125
31.25,-44.25,8.2868537902832
31.75,-44.25,8.06972694396972
32.25,-44.25,7.81805038452148
32.75,-44.25,7.5388913154602
33.25,-44.25,7.24131345748901
33.75,-44.25,6.93627309799194
34.25,-44.25,6.63588094711303
34.75,-44.25,6.35194683074951
35.25,-44.25,6.09419345855712
35.75,-44.25,5.86835956573486
36.25,-44.25,5.67481136322021
36.75,-44.25,5.50802898406982
37.25,-44.25,5.35741138458251
37.75,-44.25,5.20921182632446
38.25,-44.25,5.0492787361145
38.75,-44.25,4.86607027053833
39.25,-44.25,4.65318489074707
39.75,-44.25,4.4106740951538
40.25,-44.25,4.14507961273193
40.75,-44.25,3.86791849136352
41.25,-44.25,3.59324502944946
41.75,-44.25,3.33482027053833
42.25,-44.25,3.103524684906
42.75,-44.25,2.90557479858398
43.25,-44.25,2.74178910255432
43.75,-44.25,2.60795211791992
44.25,-44.25,2.49590182304382
44.75,-44.25,2.39493751525878
-44.75,-43.75,4.06424236297607
-44.25,-43.75,4.45470142364501
-43.75,-43.75,4.75361490249633
-43.25,-43.75,4.95831155776977
-42.75,-43.75,5.07037782669067
-42.25,-43.75,5.09509515762329
-41.75,-43.75,5.04353761672973
-41.25,-43.75,4.93127584457397
-40.75,-43.75,4.77607631683349
-40.25,-43.75,4.59558200836181
-39.75,-43.75,4.40540742874145
-39.25,-43.75,4.21792078018188
-38.75,-43.75,4.04161882400512
-38.25,-43.75,3.88110208511352
-37.75,-43.75,3.73748326301574
-37.25,-43.75,3.60911893844604
-36.75,-43.75,3.49250078201293
-36.25,-43.75,3.38319492340087
-35.75,-43.75,3.27677607536315
-35.25,-43.75,3.16965746879577
-34.75,-43.75,3.05974841117858
-34.25,-43.75,2.94681811332702
-33.75,-43.75,2.83255410194396
-33.25,-43.75,2.72028803825378
-32.75,-43.75,2.61436557769775
-32.25,-43.75,2.51938247680664
-31.75,-43.75,2.43942832946777
-31.25,-43.75,2.3775246143341
-30.75,-43.75,2.33545684814453
-30.25,-43.75,2.31401276588439
-29.75,-43.75,2.31347179412841
-29.25,-43.75,2.33416485786438
-28.75,-43.75,2.37683248519897
-28.25,-43.75,2.44255709648132
-27.75,-43.75,2.53232073783874
-27.25,-43.75,2.64642596244812
-26.75,-43.75,2.78400778770446
-26.25,-43.75,2.94301772117614
-25.75,-43.75,3.12083053588867
-25.25,-43.75,3.31526112556457
-24.75,-43.75,3.52574777603149
-24.25,-43.75,3.75405621528625
-23.75,-43.75,4.00423192977905
-23.25,-43.75,4.28148317337036
-22.75,-43.75,4.59017658233642
-22.25,-43.75,4.93144750595092
-21.75,-43.75,5.30094957351684
-21.25,-43.75,5.68746280670166
-20.75,-43.75,6.07285547256469
-20.25,-43.75,6.43355751037597
-19.75,-43.75,6.74338197708129
-19.25,-43.75,6.97731208801269
