x(cm),y(cm),Transient (arb),Normalized Transient
2.025,-4.375,1.73563,1.39867516580574
2.075,-4.375,1.72219,1.38784440450959
2.125,-4.375,1.70842,1.37674770934234
2.175,-4.375,1.69433,1.36539313890613
2.225,-4.375,1.6799,1.35376457599665
2.275,-4.375,1.66515,1.34187813781821
2.325,-4.375,1.65006,1.32971770716652
2.375,-4.375,1.63466,1.31730745984801
2.425,-4.375,1.61893,1.3046312786584
2.475,-4.375,1.60288,1.29169722219984
2.525,-4.375,1.58652,1.27851334907447
2.575,-4.375,1.56984,1.26507160068015
2.625,-4.375,1.55285,1.25138003561902
2.675,-4.375,1.53555,1.2374386538911
2.725,-4.375,1.51795,1.22325551409852
2.775,-4.375,1.50004,1.20882255763915
2.825,-4.375,1.48184,1.19415590171729
2.875,-4.375,1.46335,1.17925554633293
2.925,-4.375,1.44457,1.16412149148609
2.975,-4.375,1.4255,1.14875373717675
3.025,-4.375,1.40616,1.13316840060923
3.075,-4.375,1.38655,1.11736548178353
3.125,-4.375,1.36667,1.10134498069965
3.175,-4.375,1.34652,1.08510689735758
3.225,-4.375,1.32613,1.0686754075638
3.275,-4.375,1.30548,1.052034394114
3.325,-4.375,1.28459,1.03519997421247
3.375,-4.375,1.26347,1.01818020646139
3.425,-4.375,1.24212,1.00097509086074
3.475,-4.375,1.22055,0.983592686012684
3.525,-4.375,1.19877,0.966041050519377
3.575,-4.375,1.17678,0.948320184380817
3.625,-4.375,1.15459,0.93043814619916
3.675,-4.375,1.13222,0.912411053178716
3.725,-4.375,1.10967,0.894238905319483
3.775,-4.375,1.08695,0.875929761223618
3.825,-4.375,1.06406,0.85748362089112
3.875,-4.375,1.04103,0.838924660128454
3.925,-4.375,1.01785,0.820244820333465
3.975,-4.375,0.994537,0.801457801129816
4.025,-4.375,0.971101,0.782571661119662
4.075,-4.375,0.94755,0.763592847184727
4.125,-4.375,0.923897,0.744531835507813
4.175,-4.375,0.900149,0.725394267110427
4.225,-4.375,0.876318,0.706189812315156
4.275,-4.375,0.852413,0.686925723863939
4.325,-4.375,0.828446,0.667611672079361
4.375,-4.375,0.804426,0.648254909703363
4.425,-4.375,0.780365,0.62886510705853
-4.475,-4.325,0.755616,0.608920872585441
-4.425,-4.325,0.779287,0.627996389746235
-4.375,-4.325,0.802927,0.647046925240348
-4.325,-4.325,0.826526,0.666064420465626
-4.275,-4.325,0.850074,0.685040816819914
-4.225,-4.325,0.873561,0.703968055701058
-4.175,-4.325,0.896976,0.722837272646687
-4.125,-4.325,0.920309,0.741640409054645
-4.075,-4.325,0.943552,0.76037101804321
-4.025,-4.325,0.966693,0.779019429289795
-3.975,-4.325,0.989723,0.797578390052462
-3.925,-4.325,1.01263,0.816038230008623
-3.875,-4.325,1.03541,0.834395725717417
-3.825,-4.325,1.05805,0.852640400996043
