Time [us],Trace [arb. u.]
2.1973,-0.00194633
2.2013,-0.00293616
2.2053,-0.00403246
2.2093,-0.00528074
2.2133,-0.00579544
2.2173,-0.00571629
2.2213,-0.00661362
2.2253,-0.0085459
2.2293,-0.00869332
2.2333,-0.00932729
2.2373,-0.0106865
2.2413,-0.00988667
2.2453,-0.00980564
2.2493,-0.0109707
2.2533,-0.0108949
2.2573,-0.0110417
2.2613,-0.0126537
2.2653,-0.0109734
2.2693,-0.0105548
2.2733,-0.0123903
2.2773,-0.013198
2.2813,-0.0118664
2.2853,-0.0118148
2.2893,-0.0115358
2.2933,-0.0113791
2.2973,-0.0130571
2.3013,-0.0119543
2.3053,-0.0110429
2.3093,-0.00979407
2.3133,-0.011271
2.3173,-0.00988189
2.3213,-0.0103201
2.3253,-0.00983888
2.3293,-0.0102306
2.3333,-0.00849788
2.3373,-0.0080033
2.3413,-0.00764947
2.3453,-0.0081944
2.3493,-0.00799608
2.3533,-0.00794572
2.3573,-0.00693455
2.3613,-0.0065924
2.3653,-0.00470691
2.3693,-0.00360648
2.3733,-0.00222425
2.3773,0.000450505
2.3813,0.000574798
2.3853,0.00190833
2.3893,0.00794375
2.3933,0.00860762
2.3973,0.0108094
2.4013,0.0118951
2.4053,0.0153986
2.4093,0.0184909
2.4133,0.0190764
2.4173,0.0207557
2.4213,0.0221671
2.4253,0.0214687
2.4293,0.0238858
2.4333,0.0241136
2.4373,0.0235717
2.4413,0.0258578
2.4453,0.0258553
2.4493,0.023803
2.4533,0.0232263
2.4573,0.0220597
2.4613,0.0206623
2.4653,0.0186263
2.4693,0.0177712
2.4733,0.0165481
2.4773,0.0147713
2.4813,0.0114728
2.4853,0.0100468
2.4893,0.0076446
2.4933,0.00413243
2.4973,0.00299831
2.5013,0.0015317
2.5053,-0.000629132
2.5093,-0.00273673
2.5133,-0.00509255
2.5173,-0.0061943
2.5213,-0.00941278
2.5253,-0.00905949
2.5293,-0.00957163
2.5333,-0.00758766
2.5373,-0.00854235
2.5413,-0.0103825
2.5453,-0.00788713
2.5493,-0.00654593
2.5533,-0.00805055
2.5573,-0.00659361
2.5613,-0.00699714
2.5653,-0.00446213
2.5693,-0.00342818
2.5733,-0.00266001
2.5773,-0.00356269
2.5813,-0.00241267
2.5853,-0.00417998
2.5893,-0.00313236
2.5933,-0.00336825
2.5973,-0.00252884
2.6013,-0.00244513
2.6053,-0.0010122
2.6093,-0.00108981
2.6133,-0.000479166
2.6173,-0.00323363
2.6213,-0.003078
2.6253,-0.00427369
2.6293,-0.0048133
2.6333,-0.00345052
2.6373,-0.00385394
2.6413,-0.00306366
2.6453,-0.00300285
2.6493,-0.00398889
2.6533,-0.00441088
2.6573,-0.00531209
