x (mm),y (mm),intensity (arb. units)
-10.75,-43.75,1.4350479158496677e-06
-10.25,-43.75,1.4821374899922952e-06
-9.75,-43.75,1.5300634447855016e-06
-9.25,-43.75,1.578755410314797e-06
-8.75,-43.75,1.6281343442341957e-06
-8.25,-43.75,1.6781152830527387e-06
-7.75,-43.75,1.7286106404051468e-06
-7.25,-43.75,1.7795339648305304e-06
-6.75,-43.75,1.8308038065523306e-06
-6.25,-43.75,1.8823481025046107e-06
-5.75,-43.75,1.9341089419157108e-06
-5.25,-43.75,1.9860473466343723e-06
-4.75,-43.75,2.038145771050577e-06
-4.25,-43.75,2.090408147698958e-06
-3.75,-43.75,2.14285573231631e-06
-3.25,-43.75,2.1955192213448772e-06
-2.75,-43.75,2.248427964953124e-06
-2.25,-43.75,2.301598359638246e-06
-1.75,-43.75,2.3550235965028673e-06
-1.25,-43.75,2.4086669688324055e-06
-0.75,-43.75,2.462459872446141e-06
-0.25,-43.75,2.5163033324386087e-06
0.25,-43.75,2.570072951811996e-06
0.75,-43.75,2.6236237109923694e-06
1.25,-43.75,2.6767934662169583e-06
1.75,-43.75,2.729403872922879e-06
2.25,-43.75,2.7812572643361212e-06
2.75,-43.75,2.8321318961033258e-06
3.25,-43.75,2.881775976554126e-06
3.75,-43.75,2.929903607626132e-06
4.25,-43.75,2.976193079219639e-06
4.75,-43.75,3.0202889772133746e-06
5.25,-43.75,3.061807702736322e-06
5.75,-43.75,3.1003456279349255e-06
6.25,-43.75,3.13548901633054e-06
6.75,-43.75,3.1668239985922343e-06
7.25,-43.75,3.193946192056487e-06
7.75,-43.75,3.2164694794730306e-06
8.25,-43.75,3.2340345192080777e-06
8.75,-43.75,3.246316588156951e-06
9.25,-43.75,3.2530336999521603e-06
9.75,-43.75,3.253954998718274e-06
10.25,-43.75,3.248909139352471e-06
10.75,-43.75,3.237791840085637e-06
11.25,-43.75,3.220572206968963e-06
11.75,-43.75,3.197296848265734e-06
12.25,-43.75,3.1680909908847013e-06
12.75,-43.75,3.1331557493036404e-06
13.25,-43.75,3.092762781689654e-06
13.75,-43.75,3.0472455397844228e-06
14.25,-43.75,2.9969888776297974e-06
14.75,-43.75,2.942416940725682e-06
15.25,-43.75,2.8839810212507064e-06
15.75,-43.75,2.8221478051005802e-06
16.25,-43.75,2.75738849312082e-06
16.75,-43.75,2.690169900752076e-06
17.25,-43.75,2.6209482050611647e-06
17.75,-43.75,2.5501645174538492e-06
18.25,-43.75,2.4782428785022238e-06
18.75,-43.75,2.4055900814524357e-06
19.25,-43.75,2.332596258935817e-06
19.75,-43.75,2.2596349729656656e-06
20.25,-43.75,2.1870625082312376e-06
20.75,-43.75,2.1152155885832172e-06
21.25,-43.75,2.0444079620212226e-06
21.75,-43.75,1.9749257447994057e-06
22.25,-43.75,1.9070222704538233e-06
22.75,-43.75,1.8409144053235626e-06
23.25,-43.75,1.776779700856518e-06
23.75,-43.75,1.7147559477658957e-06
24.25,-43.75,1.654942394992402e-06
24.75,-43.75,1.5974019827408232e-06
25.25,-43.75,1.5421643789373182e-06
25.75,-43.75,1.4892281928649903e-06
26.25,-43.75,1.4385625702400066e-06
26.75,-43.75,1.3901079009969289e-06
27.25,-43.75,1.3437751743153386e-06
27.75,-43.75,1.299443954350819e-06
28.25,-43.75,1.2569595781643323e-06
28.75,-43.75,1.2161294599349803e-06
29.25,-43.75,1.176719645252629e-06
29.75,-43.75,1.1384524279530712e-06
30.25,-43.75,1.1010069509497953e-06
30.75,-43.75,1.0640232152870761e-06
31.25,-43.75,1.0271102661518383e-06
31.75,-43.75,9.898580156820545e-07
32.25,-43.75,9.518519129971208e-07
32.75,-43.75,9.126901479009898e-07
33.25,-43.75,8.720024914362069e-07
33.75,-43.75,8.294725567487274e-07
34.25,-43.75,7.848640997799352e-07
34.75,-43.75,7.380522613673474e-07
35.25,-43.75,6.890582880973823e-07
35.75,-43.75,6.38083482680956e-07
36.25,-43.75,5.855357667824611e-07
36.75,-43.75,5.320399002447425e-07
37.25,-43.75,4.784234525180713e-07
37.75,-43.75,4.2567356687629263e-07
38.25,-43.75,3.748663402570988e-07
38.75,-43.75,3.2707659348497874e-07
39.25,-43.75,2.8328161299614294e-07
39.75,-43.75,2.442745971714951e-07
40.25,-43.75,2.1060235299705318e-07
40.75,-43.75,1.8253567879189704e-07
41.25,-43.75,1.600737042641933e-07
41.75,-43.75,1.429759258143106e-07
42.25,-43.75,1.3081048181533302e-07
42.75,-43.75,1.2300565934884503e-07
43.25,-43.75,1.1889434491247315e-07
43.75,-43.75,1.177464054289163e-07
44.25,-43.75,1.1878510971082221e-07
44.75,-43.75,1.2118293567616902e-07
-44.75,-43.25,1.842285209370195e-07
-44.25,-43.25,1.7755863457163634e-07
-43.75,-43.25,1.7301963688621569e-07
-43.25,-43.25,1.7168623023246973e-07
-42.75,-43.25,1.7413871091061842e-07
-42.25,-43.25,1.8043125600604595e-07
