x (mm),y (mm),intensity (arb. units)
-20.75,-44.75,6.703027887794115e-07
-20.25,-44.75,6.884940801227905e-07
-19.75,-44.75,7.073310586595798e-07
-19.25,-44.75,7.267720814345908e-07
-18.75,-44.75,7.467638074264448e-07
-18.25,-44.75,7.67246443411349e-07
-17.75,-44.75,7.881560390519407e-07
-17.25,-44.75,8.094242113707414e-07
-16.75,-44.75,8.309777470621805e-07
-16.25,-44.75,8.527405547401858e-07
-15.75,-44.75,8.746396373030713e-07
-15.25,-44.75,8.966156935442159e-07
-14.75,-44.75,9.186362989509319e-07
-14.25,-44.75,9.407086874829616e-07
-13.75,-44.75,9.628880295148806e-07
-13.25,-44.75,9.852786528176307e-07
-12.75,-44.75,1.0080258277848884e-06
-12.25,-44.75,1.031299337485727e-06
-11.75,-44.75,1.0552713899599746e-06
-11.25,-44.75,1.080092252049339e-06
-10.75,-44.75,1.1058688216753092e-06
-10.25,-44.75,1.1326491503109773e-06
-9.75,-44.75,1.1604158935984378e-06
-9.25,-44.75,1.1890893355965443e-06
-8.75,-44.75,1.218539071005288e-06
-8.25,-44.75,1.2486017313125103e-06
-7.75,-44.75,1.2791018092967833e-06
-7.25,-44.75,1.3098711703909557e-06
-6.75,-44.75,1.3407648601228957e-06
-6.25,-44.75,1.3716704857223894e-06
-5.75,-44.75,1.402510246747186e-06
-5.25,-44.75,1.4332360859494986e-06
-4.75,-44.75,1.463819790855935e-06
-4.25,-44.75,1.4942403672470842e-06
-3.75,-44.75,1.5244720499511891e-06
-3.25,-44.75,1.5544749967455148e-06
-2.75,-44.75,1.5841902928374485e-06
-2.25,-44.75,1.6135402933307082e-06
-1.75,-44.75,1.6424328644347957e-06
-1.25,-44.75,1.6707680199515076e-06
-0.75,-44.75,1.6984454630207125e-06
-0.25,-44.75,1.7253707765183995e-06
0.25,-44.75,1.7514589033765025e-06
0.75,-44.75,1.7766337988223596e-06
1.25,-44.75,1.800824078253095e-06
1.75,-44.75,1.8239565025789957e-06
2.25,-44.75,1.8459477344577306e-06
2.75,-44.75,1.8666978138957745e-06
3.25,-44.75,1.886085338598338e-06
3.75,-44.75,1.9039668690735708e-06
4.25,-44.75,1.920180517817316e-06
4.75,-44.75,1.9345530606440517e-06
5.25,-44.75,1.946910314074451e-06
5.75,-44.75,1.9570890275157045e-06
6.25,-44.75,1.964949066478465e-06
6.75,-44.75,1.9703849694218087e-06
7.25,-44.75,1.9733353153815355e-06
7.75,-44.75,1.9737886290482705e-06
8.25,-44.75,1.971783495128698e-06
8.75,-44.75,1.9674034982617605e-06
9.25,-44.75,1.9607664450979116e-06
9.75,-44.75,1.9520099462750473e-06
10.25,-44.75,1.9412752446220148e-06
10.75,-44.75,1.9286921060396198e-06
11.25,-44.75,1.9143677666757383e-06
11.75,-44.75,1.8983819157268125e-06
12.25,-44.75,1.8807875376047274e-06
12.75,-44.75,1.8616172194700213e-06
13.25,-44.75,1.8408925335894373e-06
13.75,-44.75,1.8186345325569912e-06
14.25,-44.75,1.7948724285280474e-06
14.75,-44.75,1.769649528063632e-06
15.25,-44.75,1.7430253883387692e-06
15.75,-44.75,1.7150744896885838e-06
16.25,-44.75,1.6858837784873286e-06
16.75,-44.75,1.6555488423152246e-06
17.25,-44.75,1.624171688934664e-06
17.75,-44.75,1.5918592132980973e-06
18.25,-44.75,1.5587230188156752e-06
18.75,-44.75,1.524880236245989e-06
19.25,-44.75,1.4904548110125723e-06
19.75,-44.75,1.4555791793075545e-06
20.25,-44.75,1.420394447973164e-06
20.75,-44.75,1.385049427803514e-06
21.25,-44.75,1.3496976905248429e-06
21.75,-44.75,1.314491122451315e-06
22.25,-44.75,1.279571634759799e-06
22.75,-44.75,1.2450614952344572e-06
23.25,-44.75,1.2110548096523261e-06
23.75,-44.75,1.177612601911752e-06
24.25,-44.75,1.144762779424482e-06
24.75,-44.75,1.1125055124342552e-06
25.25,-44.75,1.0808218136070775e-06
25.75,-44.75,1.0496829350971692e-06
26.25,-44.75,1.0190587356201298e-06
26.75,-44.75,9.889219851643735e-07
27.25,-44.75,9.592478672990953e-07
27.75,-44.75,9.30010194865372e-07
28.25,-44.75,9.011758014761851e-07
28.75,-44.75,8.726982937394544e-07
29.25,-44.75,8.445125078598786e-07
29.75,-44.75,8.165303026417459e-07
30.25,-44.75,7.886370954914605e-07
30.75,-44.75,7.606887553695004e-07
31.25,-44.75,7.325094274071049e-07
31.75,-44.75,7.0389134055295e-07
32.25,-44.75,6.745989675946093e-07
32.75,-44.75,6.443797341668641e-07
33.25,-44.75,6.129832572343849e-07
33.75,-44.75,5.801889662870505e-07
34.25,-44.75,5.458403600155257e-07
34.75,-44.75,5.098820290930489e-07
35.25,-44.75,4.723925446178463e-07
35.75,-44.75,4.3360830772498553e-07
36.25,-44.75,3.93932630363706e-07
36.75,-44.75,3.5392544796400195e-07
37.25,-44.75,3.14273511698111e-07
