x (mm),y (mm),intensity (arb. units)
26.25,-43.75,1.1818315880725643e-06
26.75,-43.75,1.1421260920308987e-06
27.25,-43.75,1.103457707503472e-06
27.75,-43.75,1.0658621715091565e-06
28.25,-43.75,1.0293360369137731e-06
28.75,-43.75,9.938240610811435e-07
29.25,-43.75,9.592128626023924e-07
29.75,-43.75,9.253291246903121e-07
30.25,-43.75,8.919424794767285e-07
30.75,-43.75,8.587727099503323e-07
31.25,-43.75,8.255001455312656e-07
31.75,-43.75,7.917801246843519e-07
32.25,-43.75,7.57262397984991e-07
32.75,-43.75,7.216159999265557e-07
33.25,-43.75,6.845588891772486e-07
33.75,-43.75,6.458901801438812e-07
34.25,-43.75,6.055226238686241e-07
34.75,-43.75,5.635109807483964e-07
35.25,-43.75,5.200719668507531e-07
35.75,-43.75,4.7559248827343485e-07
36.25,-43.75,4.306223637077706e-07
36.75,-43.75,3.858507233898206e-07
37.25,-43.75,3.420654547192012e-07
37.75,-43.75,3.000985833083099e-07
38.25,-43.75,2.607630125190373e-07
38.75,-43.75,2.2478774248100415e-07
39.25,-43.75,1.9276012355876763e-07
39.75,-43.75,1.6508396883087184e-07
40.25,-43.75,1.419584810387105e-07
40.75,-43.75,1.233797265730503e-07
41.25,-43.75,1.0916146005052114e-07
41.75,-43.75,9.89686192650846e-08
42.25,-43.75,9.235520584484429e-08
42.75,-43.75,8.879898630934801e-08
43.25,-43.75,8.772497557866264e-08
43.75,-43.75,8.850174919873439e-08
44.25,-43.75,9.044716873528524e-08
44.75,-43.75,9.292983370134458e-08
-44.75,-43.25,1.3519077391097873e-07
-44.25,-43.25,1.314054569083282e-07
-43.75,-43.25,1.3057129261308217e-07
-43.25,-43.25,1.3304511718141282e-07
-42.75,-43.25,1.388106590555233e-07
-42.25,-43.25,1.4766162590011595e-07
-41.75,-43.25,1.5924021562360988e-07
-41.25,-43.25,1.7308043166762003e-07
-40.75,-43.25,1.8865431654875268e-07
-40.25,-43.25,2.0541876931462147e-07
-39.75,-43.25,2.2285915520304156e-07
-39.25,-43.25,2.4052570156662525e-07
-38.75,-43.25,2.580594995903361e-07
-38.25,-43.25,2.7520599773361785e-07
-37.75,-43.25,2.918160824123509e-07
-37.25,-43.25,3.078366800843978e-07
-36.75,-43.25,3.232934202596618e-07
-36.25,-43.25,3.3826951384006245e-07
-35.75,-43.25,3.5288389389156254e-07
-35.25,-43.25,3.672709170078321e-07
-34.75,-43.25,3.815638171831271e-07
-34.25,-43.25,3.958821487167962e-07
-33.75,-43.25,4.103238900045669e-07
-33.25,-43.25,4.249616918719697e-07
-32.75,-43.25,4.398430240154851e-07
-32.25,-43.25,4.5499338457601964e-07
-31.75,-43.25,4.7042201136224475e-07
-31.25,-43.25,4.861293459121025e-07
-30.75,-43.25,5.021147683193983e-07
-30.25,-43.25,5.183833542673774e-07
-29.75,-43.25,5.349508118342359e-07
-29.25,-43.25,5.518453055004603e-07
-28.75,-43.25,5.691062372790268e-07
-28.25,-43.25,5.867806594964174e-07
-27.75,-43.25,6.049181859067622e-07
-27.25,-43.25,6.235659240450753e-07
-26.75,-43.25,6.427649254810473e-07
-26.25,-43.25,6.625480983865046e-07
-25.75,-43.25,6.829406394878054e-07
-25.25,-43.25,7.039617320614204e-07
-24.75,-43.25,7.256265253097417e-07
-24.25,-43.25,7.479475798738968e-07
-23.75,-43.25,7.709355661627556e-07
-23.25,-43.25,7.945994907807752e-07
-22.75,-43.25,8.189471761316037e-07
-22.25,-43.25,8.439866665226718e-07
-21.75,-43.25,8.697287834942071e-07
-21.25,-43.25,8.961907914036836e-07
-20.75,-43.25,9.234003099514529e-07
-20.25,-43.25,9.513992434339323e-07
-19.75,-43.25,9.802471386489944e-07
-19.25,-43.25,1.010023063321881e-06
-18.75,-43.25,1.0408262442264519e-06
-18.25,-43.25,1.0727757293235787e-06
-17.75,-43.25,1.106008357834853e-06
-17.25,-43.25,1.1406742879481131e-06
-16.75,-43.25,1.176930729062985e-06
-16.25,-43.25,1.2149328271219429e-06
-15.75,-43.25,1.2548231718004499e-06
-15.25,-43.25,1.2967213533466832e-06
-14.75,-43.25,1.3407154176596371e-06
-14.25,-43.25,1.3868570092914033e-06
-13.75,-43.25,1.4351604348286721e-06
-13.25,-43.25,1.4856061664751219e-06
-12.75,-43.25,1.5381464204519295e-06
-12.25,-43.25,1.5927121470150453e-06
-11.75,-43.25,1.6492191607352302e-06
-11.25,-43.25,1.7075729894496097e-06
-10.75,-43.25,1.7676725254216064e-06
-10.25,-43.25,1.8294134710575066e-06
-9.75,-43.25,1.892692084787999e-06
