x [mm],y [mm],Beam dist
-17.25,-43.75,0.00117393
-16.75,-43.75,0.00121869
-16.25,-43.75,0.00126344
-15.75,-43.75,0.00132312
-15.25,-43.75,0.00138279
-14.75,-43.75,0.00144246
-14.25,-43.75,0.00150214
-13.75,-43.75,0.00156181
-13.25,-43.75,0.00162072
-12.75,-43.75,0.00167963
-12.25,-43.75,0.00173853
-11.75,-43.75,0.00179744
-11.25,-43.75,0.00185635
-10.75,-43.75,0.00191971
-10.25,-43.75,0.00198306
-9.75,-43.75,0.00204642
-9.25,-43.75,0.00210977
-8.75,-43.75,0.00217313
-8.25,-43.75,0.00225107
-7.75,-43.75,0.00232902
-7.25,-43.75,0.00240696
-6.75,-43.75,0.0024849
-6.25,-43.75,0.00256284
-5.75,-43.75,0.00263925
-5.25,-43.75,0.00271566
-4.75,-43.75,0.00279207
-4.25,-43.75,0.00286848
-3.75,-43.75,0.00294489
-3.25,-43.75,0.00304057
-2.75,-43.75,0.00313625
-2.25,-43.75,0.00323193
-1.75,-43.75,0.00332761
-1.25,-43.75,0.00342328
-0.75,-43.75,0.0034912
-0.25,-43.75,0.00355912
0.25,-43.75,0.00362704
0.75,-43.75,0.00369496
1.25,-43.75,0.00376288
1.75,-43.75,0.003831
2.25,-43.75,0.00389911
2.75,-43.75,0.00396723
3.25,-43.75,0.00403534
3.75,-43.75,0.00410345
4.25,-43.75,0.0041764
4.75,-43.75,0.00424935
5.25,-43.75,0.00432229
5.75,-43.75,0.00439524
6.25,-43.75,0.00446819
6.75,-43.75,0.00449528
7.25,-43.75,0.00452238
7.75,-43.75,0.00454947
8.25,-43.75,0.00457657
8.75,-43.75,0.00460366
9.25,-43.75,0.00460482
9.75,-43.75,0.00460597
10.25,-43.75,0.00460713
10.75,-43.75,0.00460829
11.25,-43.75,0.00460944
11.75,-43.75,0.00453113
12.25,-43.75,0.00445281
12.75,-43.75,0.0043745
13.25,-43.75,0.00429619
13.75,-43.75,0.00421787
14.25,-43.75,0.00412387
14.75,-43.75,0.00402986
15.25,-43.75,0.00393586
15.75,-43.75,0.00384185
16.25,-43.75,0.00374785
16.75,-43.75,0.00362581
17.25,-43.75,0.00350378
17.75,-43.75,0.00338175
18.25,-43.75,0.00325972
18.75,-43.75,0.00313768
19.25,-43.75,0.00302415
19.75,-43.75,0.00291061
20.25,-43.75,0.00279707
20.75,-43.75,0.00268353
21.25,-43.75,0.00256999
21.75,-43.75,0.00246914
22.25,-43.75,0.0023683
22.75,-43.75,0.00226745
23.25,-43.75,0.0021666
23.75,-43.75,0.00206576
24.25,-43.75,0.00197893
24.75,-43.75,0.00189209
25.25,-43.75,0.00180526
25.75,-43.75,0.00171843
26.25,-43.75,0.00163159
26.75,-43.75,0.00156252
27.25,-43.75,0.00149344
27.75,-43.75,0.00142436
28.25,-43.75,0.00135529
28.75,-43.75,0.00128621
29.25,-43.75,0.00123263
29.75,-43.75,0.00117905
30.25,-43.75,0.00112548
30.75,-43.75,0.0010719
31.25,-43.75,0.00101832
31.75,-43.75,0.000973884
32.25,-43.75,0.000929449
32.75,-43.75,0.000885013
33.25,-43.75,0.000840578
33.75,-43.75,0.000796142
34.25,-43.75,0.000758339
34.75,-43.75,0.000720535
35.25,-43.75,0.000682731
35.75,-43.75,0.000644928
36.25,-43.75,0.000607124
36.75,-43.75,0.000554982
37.25,-43.75,0.00050284
37.75,-43.75,0.000450698
38.25,-43.75,0.000398556
38.75,-43.75,0.000346414
39.25,-43.75,0.000279061
39.75,-43.75,0.000211707
40.25,-43.75,0.000144354
40.75,-43.75,7.70009e-05
41.25,-43.75,9.64762e-06
41.75,-43.75,1.64745e-05
42.25,-43.75,2.33014e-05
42.75,-43.75,3.01283e-05
43.25,-43.75,3.69551e-05
43.75,-43.75,4.3782e-05
44.25,-43.75,4.3782e-05
44.75,-43.75,4.3782e-05
-44.75,-43.25,6.70124e-05
-44.25,-43.25,6.70124e-05
-43.75,-43.25,6.70124e-05
-43.25,-43.25,0.000149609
-42.75,-43.25,0.000232205
-42.25,-43.25,0.000314802
-41.75,-43.25,0.000397398
-41.25,-43.25,0.000479995
-40.75,-43.25,0.000592576
-40.25,-43.25,0.000705157
-39.75,-43.25,0.000817738
-39.25,-43.25,0.000930319
-38.75,-43.25,0.0010429
-38.25,-43.25,0.00100395
-37.75,-43.25,0.000964997
-37.25,-43.25,0.000926046
-36.75,-43.25,0.000887094
-36.25,-43.25,0.000848143
-35.75,-43.25,0.000815845
-35.25,-43.25,0.000783547
-34.75,-43.25,0.000751249
-34.25,-43.25,0.000718951
-33.75,-43.25,0.000686653
-33.25,-43.25,0.000676947
-32.75,-43.25,0.000667241
-32.25,-43.25,0.000657535
-31.75,-43.25,0.000647829
-31.25,-43.25,0.000638123
-30.75,-43.25,0.00063926
-30.25,-43.25,0.000640397
-29.75,-43.25,0.000641534
-29.25,-43.25,0.000642671
-28.75,-43.25,0.000643808
-28.25,-43.25,0.000653464
-27.75,-43.25,0.000663119
-27.25,-43.25,0.000672775
-26.75,-43.25,0.00068243
-26.25,-43.25,0.000692086
-25.75,-43.25,0.000719375
-25.25,-43.25,0.000746665
-24.75,-43.25,0.000773955
-24.25,-43.25,0.000801245
-23.75,-43.25,0.000828534
-23.25,-43.25,0.000864462
-22.75,-43.25,0.00090039
-22.25,-43.25,0.000936317
-21.75,-43.25,0.000972245
-21.25,-43.25,0.00100817
-20.75,-43.25,0.00105299
-20.25,-43.25,0.0010978
-19.75,-43.25,0.00114261
-19.25,-43.25,0.00118743
-18.75,-43.25,0.00123224
-18.25,-43.25,0.00129103
-17.75,-43.25,0.00134983
-17.25,-43.25,0.00140862
-16.75,-43.25,0.00146741
-16.25,-43.25,0.00152621
-15.75,-43.25,0.00160002
-15.25,-43.25,0.00167383
-14.75,-43.25,0.00174764
-14.25,-43.25,0.00182145
-13.75,-43.25,0.00189526
-13.25,-43.25,0.001972
-12.75,-43.25,0.00204874
-12.25,-43.25,0.00212548
-11.75,-43.25,0.00220222
-11.25,-43.25,0.00227896
-10.75,-43.25,0.00236538
-10.25,-43.25,0.00245181
-9.75,-43.25,0.00253823
-9.25,-43.25,0.00262465
-8.75,-43.25,0.00271108
-8.25,-43.25,0.00280573
-7.75,-43.25,0.00290038
-7.25,-43.25,0.00299504
-6.75,-43.25,0.00308969
-6.25,-43.25,0.00318434
-5.75,-43.25,0.00328212
-5.25,-43.25,0.00337989
-4.75,-43.25,0.00347767
-4.25,-43.25,0.00357544
-3.75,-43.25,0.00367322
-3.25,-43.25,0.00379204
-2.75,-43.25,0.00391085
-2.25,-43.25,0.00402967
-1.75,-43.25,0.00414849
-1.25,-43.25,0.00426731
-0.75,-43.25,0.00437098
-0.25,-43.25,0.00447464
0.25,-43.25,0.00457831
0.75,-43.25,0.00468198
1.25,-43.25,0.00478565
1.75,-43.25,0.00488288
2.25,-43.25,0.00498011
2.75,-43.25,0.00507734
3.25,-43.25,0.00517458
3.75,-43.25,0.00527181
4.25,-43.25,0.00536612
4.75,-43.25,0.00546043
5.25,-43.25,0.00555475
5.75,-43.25,0.00564906
6.25,-43.25,0.00574337
6.75,-43.25,0.00577941
7.25,-43.25,0.00581544
7.75,-43.25,0.00585148
8.25,-43.25,0.00588751
8.75,-43.25,0.00592354
9.25,-43.25,0.00591314
9.75,-43.25,0.00590274
10.25,-43.25,0.00589234
10.75,-43.25,0.00588194
11.25,-43.25,0.00587154
11.75,-43.25,0.00577035
12.25,-43.25,0.00566916
12.75,-43.25,0.00556797
13.25,-43.25,0.00546678
13.75,-43.25,0.00536559
14.25,-43.25,0.00522592
14.75,-43.25,0.00508626
15.25,-43.25,0.00494659
15.75,-43.25,0.00480692
16.25,-43.25,0.00466726
16.75,-43.25,0.00450571
17.25,-43.25,0.00434416
17.75,-43.25,0.00418262
18.25,-43.25,0.00402107
18.75,-43.25,0.00385952
19.25,-43.25,0.00370271
19.75,-43.25,0.00354589
20.25,-43.25,0.00338908
20.75,-43.25,0.00323226
21.25,-43.25,0.00307545
21.75,-43.25,0.00294329
22.25,-43.25,0.00281114
22.75,-43.25,0.00267898
23.25,-43.25,0.00254682
23.75,-43.25,0.00241467
24.25,-43.25,0.00230566
24.75,-43.25,0.00219666
25.25,-43.25,0.00208765
25.75,-43.25,0.00197864
26.25,-43.25,0.00186964
26.75,-43.25,0.00178515
27.25,-43.25,0.00170066
27.75,-43.25,0.00161618
28.25,-43.25,0.00153169
28.75,-43.25,0.0014472
29.25,-43.25,0.00138329
29.75,-43.25,0.00131937
30.25,-43.25,0.00125546
30.75,-43.25,0.00119154
31.25,-43.25,0.00112763
31.75,-43.25,0.00107705
32.25,-43.25,0.00102647
32.75,-43.25,0.000975896
33.25,-43.25,0.000925319
33.75,-43.25,0.000874743
34.25,-43.25,0.000831326
34.75,-43.25,0.000787909
35.25,-43.25,0.000744492
35.75,-43.25,0.000701075
36.25,-43.25,0.000657657
36.75,-43.25,0.000599297
37.25,-43.25,0.000540937
37.75,-43.25,0.000482577
38.25,-43.25,0.000424216
38.75,-43.25,0.000365856
39.25,-43.25,0.000298566
39.75,-43.25,0.000231276
40.25,-43.25,0.000163985
40.75,-43.25,9.66949e-05
41.25,-43.25,2.94046e-05
41.75,-43.25,4.20248e-05
42.25,-43.25,5.46451e-05
42.75,-43.25,6.72653e-05
43.25,-43.25,7.98856e-05
43.75,-43.25,9.25058e-05
44.25,-43.25,9.25058e-05
44.75,-43.25,9.25058e-05
-44.75,-42.75,0.000109039
-44.25,-42.75,0.000109039
-43.75,-42.75,0.000109039
-43.25,-42.75,0.000207078
-42.75,-42.75,0.000305117
-42.25,-42.75,0.000403156
-41.75,-42.75,0.000501195
-41.25,-42.75,0.000599234
-40.75,-42.75,0.000702687
-40.25,-42.75,0.00080614
-39.75,-42.75,0.000909593
-39.25,-42.75,0.00101305
-38.75,-42.75,0.0011165
-38.25,-42.75,0.00107366
-37.75,-42.75,0.00103082
-37.25,-42.75,0.000987983
-36.75,-42.75,0.000945145
-36.25,-42.75,0.000902306
-35.75,-42.75,0.000870734
-35.25,-42.75,0.000839163
-34.75,-42.75,0.000807591
-34.25,-42.75,0.000776019
-33.75,-42.75,0.000744447
-33.25,-42.75,0.000735023
-32.75,-42.75,0.000725599
-32.25,-42.75,0.000716175
-31.75,-42.75,0.000706751
-31.25,-42.75,0.000697327
-30.75,-42.75,0.000700958
-30.25,-42.75,0.000704589
-29.75,-42.75,0.00070822
-29.25,-42.75,0.00071185
-28.75,-42.75,0.000715481
-28.25,-42.75,0.000727275
-27.75,-42.75,0.000739068
-27.25,-42.75,0.000750862
-26.75,-42.75,0.000762655
-26.25,-42.75,0.000774449
-25.75,-42.75,0.000807053
-25.25,-42.75,0.000839656
-24.75,-42.75,0.00087226
-24.25,-42.75,0.000904864
-23.75,-42.75,0.000937468
-23.25,-42.75,0.000978869
-22.75,-42.75,0.00102027
-22.25,-42.75,0.00106167
-21.75,-42.75,0.00110307
-21.25,-42.75,0.00114447
-20.75,-42.75,0.00120054
-20.25,-42.75,0.00125661
-19.75,-42.75,0.00131268
-19.25,-42.75,0.00136875
-18.75,-42.75,0.00142482
-18.25,-42.75,0.00149765
-17.75,-42.75,0.00157048
-17.25,-42.75,0.00164331
